NumTrees,MaxDepth,train_RMSE,test_RMSE
50,10,1.675943461095426,2.944730075935659
50,20,1.1585889816564081,3.052225304996805
50,40,1.1093616535323538,3.081334045081264
50,None,1.1102480313734056,3.0872913705589453
100,10,1.6719754767515953,2.980974055288334
100,20,1.146321757276375,3.092176710461842
100,40,1.0975603009375123,3.116387950975812
100,None,1.097888708740707,3.115751406885467
200,10,1.67842279994091,3.0124258162650044
200,20,1.1512763883964983,3.1187639813734496
200,40,1.1055003115096134,3.1477178324939667
200,None,1.1041086422849995,3.139689552977252
